Year,Value,SERIES,UNIT_MEASURE
2005,8170.754,VC_DSR_AFFCT,NUMBER
2006,310052.76347,VC_DSR_AFFCT,NUMBER
2007,83818.11452,VC_DSR_AFFCT,NUMBER
2008,410644.96231,VC_DSR_AFFCT,NUMBER
2009,203757.86395,VC_DSR_AFFCT,NUMBER
2010,220624.86523,VC_DSR_AFFCT,NUMBER
2011,13992.0,VC_DSR_AFFCT,NUMBER
2012,39128.0,VC_DSR_AFFCT,NUMBER
2013,27196.0,VC_DSR_AFFCT,NUMBER
2014,364259.0,VC_DSR_AFFCT,NUMBER
2015,10230262.0,VC_DSR_AFFCT,NUMBER
2016,84580.0,VC_DSR_AFFCT,NUMBER
2017,1111595.0,VC_DSR_AFFCT,NUMBER
2018,64255.0,VC_DSR_AFFCT,NUMBER
2019,183401.0,VC_DSR_AFFCT,NUMBER
2005,33.43899,VC_DSR_DAFF,PER_100000_POP
2006,1251.89777,VC_DSR_DAFF,PER_100000_POP
2007,333.89763,VC_DSR_DAFF,PER_100000_POP
2008,1613.92792,VC_DSR_DAFF,PER_100000_POP
2009,790.0857,VC_DSR_DAFF,PER_100000_POP
2010,844.02725,VC_DSR_DAFF,PER_100000_POP
2011,52.81095,VC_DSR_DAFF,PER_100000_POP
2012,145.60304,VC_DSR_DAFF,PER_100000_POP
2013,99.77493,VC_DSR_DAFF,PER_100000_POP
2014,1317.58049,VC_DSR_DAFF,PER_100000_POP
2015,36487.25668,VC_DSR_DAFF,PER_100000_POP
2016,297.48701,VC_DSR_DAFF,PER_100000_POP
2017,3856.26248,VC_DSR_DAFF,PER_100000_POP
2018,219.90928,VC_DSR_DAFF,PER_100000_POP
2019,641.06689,VC_DSR_DAFF,PER_100000_POP
2005,165.0,VC_DSR_IJILN,NUMBER
2006,5859.0,VC_DSR_IJILN,NUMBER
2007,4694.0,VC_DSR_IJILN,NUMBER
2008,1267.0,VC_DSR_IJILN,NUMBER
2009,1305.0,VC_DSR_IJILN,NUMBER
2010,581.0,VC_DSR_IJILN,NUMBER
2011,408.0,VC_DSR_IJILN,NUMBER
2012,485.0,VC_DSR_IJILN,NUMBER
2013,518.0,VC_DSR_IJILN,NUMBER
2014,479.0,VC_DSR_IJILN,NUMBER
2015,22663.0,VC_DSR_IJILN,NUMBER
2016,764.0,VC_DSR_IJILN,NUMBER
2017,737.0,VC_DSR_IJILN,NUMBER
2018,2902.0,VC_DSR_IJILN,NUMBER
2019,2452.0,VC_DSR_IJILN,NUMBER
2005,100.0,VC_DSR_MISS,NUMBER
2006,101.0,VC_DSR_MISS,NUMBER
2007,92.0,VC_DSR_MISS,NUMBER
2008,125.0,VC_DSR_MISS,NUMBER
2009,140.0,VC_DSR_MISS,NUMBER
2010,142.0,VC_DSR_MISS,NUMBER
2011,135.0,VC_DSR_MISS,NUMBER
2012,50.0,VC_DSR_MISS,NUMBER
2013,184.0,VC_DSR_MISS,NUMBER
2014,281.0,VC_DSR_MISS,NUMBER
2015,212.0,VC_DSR_MISS,NUMBER
2016,47.0,VC_DSR_MISS,NUMBER
2017,67.0,VC_DSR_MISS,NUMBER
2018,9.0,VC_DSR_MISS,NUMBER
2019,41.0,VC_DSR_MISS,NUMBER
2005,433.0,VC_DSR_MMHN,NUMBER
2006,700.0,VC_DSR_MMHN,NUMBER
2007,729.0,VC_DSR_MMHN,NUMBER
2008,1061.0,VC_DSR_MMHN,NUMBER
2009,1400.0,VC_DSR_MMHN,NUMBER
2010,1144.0,VC_DSR_MMHN,NUMBER
2011,553.0,VC_DSR_MMHN,NUMBER
2012,492.0,VC_DSR_MMHN,NUMBER
2013,640.0,VC_DSR_MMHN,NUMBER
2014,784.0,VC_DSR_MMHN,NUMBER
2015,9460.0,VC_DSR_MMHN,NUMBER
2016,497.0,VC_DSR_MMHN,NUMBER
2017,557.0,VC_DSR_MMHN,NUMBER
2018,487.0,VC_DSR_MMHN,NUMBER
2019,530.0,VC_DSR_MMHN,NUMBER
2005,333.0,VC_DSR_MORT,NUMBER
2006,599.0,VC_DSR_MORT,NUMBER
2007,637.0,VC_DSR_MORT,NUMBER
2008,936.0,VC_DSR_MORT,NUMBER
2009,1260.0,VC_DSR_MORT,NUMBER
2010,1002.0,VC_DSR_MORT,NUMBER
2011,418.0,VC_DSR_MORT,NUMBER
2012,442.0,VC_DSR_MORT,NUMBER
2013,456.0,VC_DSR_MORT,NUMBER
2014,503.0,VC_DSR_MORT,NUMBER
2015,9248.0,VC_DSR_MORT,NUMBER
2016,450.0,VC_DSR_MORT,NUMBER
2017,490.0,VC_DSR_MORT,NUMBER
2018,478.0,VC_DSR_MORT,NUMBER
2019,489.0,VC_DSR_MORT,NUMBER
2005,1.77206,VC_DSR_MTMP,PER_100000_POP
2006,2.82638,VC_DSR_MTMP,PER_100000_POP
2007,2.90404,VC_DSR_MTMP,PER_100000_POP
2008,4.16997,VC_DSR_MTMP,PER_100000_POP
2009,5.4286,VC_DSR_MTMP,PER_100000_POP
2010,4.37651,VC_DSR_MTMP,PER_100000_POP
2011,2.08723,VC_DSR_MTMP,PER_100000_POP
2012,1.83083,VC_DSR_MTMP,PER_100000_POP
2013,2.34799,VC_DSR_MTMP,PER_100000_POP
2014,2.83585,VC_DSR_MTMP,PER_100000_POP
2015,33.74004,VC_DSR_MTMP,PER_100000_POP
2016,1.74806,VC_DSR_MTMP,PER_100000_POP
2017,1.9323,VC_DSR_MTMP,PER_100000_POP
2018,1.66673,VC_DSR_MTMP,PER_100000_POP
2019,1.85258,VC_DSR_MTMP,PER_100000_POP
2005,2156.0,VC_DSR_PDAN,NUMBER
2006,46363.0,VC_DSR_PDAN,NUMBER
2007,7985.0,VC_DSR_PDAN,NUMBER
2008,17898.0,VC_DSR_PDAN,NUMBER
2009,49702.0,VC_DSR_PDAN,NUMBER
