Year,Value,Units,Series
2000,51.21737,PT,ER_PTD_MTN
2001,51.21737,PT,ER_PTD_MTN
2002,52.16076,PT,ER_PTD_MTN
2003,52.16076,PT,ER_PTD_MTN
2004,53.84386,PT,ER_PTD_MTN
2005,55.31853,PT,ER_PTD_MTN
2006,60.1736,PT,ER_PTD_MTN
2007,60.1736,PT,ER_PTD_MTN
2008,60.1736,PT,ER_PTD_MTN
2009,60.1736,PT,ER_PTD_MTN
2010,60.60968,PT,ER_PTD_MTN
2011,60.60968,PT,ER_PTD_MTN
2012,60.60968,PT,ER_PTD_MTN
2013,60.60968,PT,ER_PTD_MTN
2014,60.60968,PT,ER_PTD_MTN
2015,60.60968,PT,ER_PTD_MTN
2016,60.61385,PT,ER_PTD_MTN
2017,60.61385,PT,ER_PTD_MTN
2018,60.61385,PT,ER_PTD_MTN
2019,60.61385,PT,ER_PTD_MTN
