Year,Value,SERIES,UNIT_MEASURE
2000,0.205,IT_USE_II99,PER_100_POP
2001,0.24,IT_USE_II99,PER_100_POP
2002,0.313,IT_USE_II99,PER_100_POP
2003,0.383,IT_USE_II99,PER_100_POP
2004,0.45,IT_USE_II99,PER_100_POP
2005,0.827,IT_USE_II99,PER_100_POP
2006,1.141,IT_USE_II99,PER_100_POP
2007,1.41,IT_USE_II99,PER_100_POP
2008,1.73,IT_USE_II99,PER_100_POP
2009,1.97,IT_USE_II99,PER_100_POP
2010,7.93,IT_USE_II99,PER_100_POP
2011,9.0,IT_USE_II99,PER_100_POP
2012,11.149,IT_USE_II99,PER_100_POP
2013,13.3,IT_USE_II99,PER_100_POP
2014,15.44,IT_USE_II99,PER_100_POP
2015,17.582,IT_USE_II99,PER_100_POP
2016,19.689,IT_USE_II99,PER_100_POP
2017,34.0,IT_USE_II99,PER_100_POP
