Year,Value,SERIES,UNIT_MEASURE
2001,23.6,SN_ITK_DEFC,PT
2002,21.9,SN_ITK_DEFC,PT
2003,19.9,SN_ITK_DEFC,PT
2004,17.7,SN_ITK_DEFC,PT
2005,16.9,SN_ITK_DEFC,PT
2006,16.0,SN_ITK_DEFC,PT
2007,15.0,SN_ITK_DEFC,PT
2008,13.1,SN_ITK_DEFC,PT
2009,11.5,SN_ITK_DEFC,PT
2010,9.9,SN_ITK_DEFC,PT
2011,8.4,SN_ITK_DEFC,PT
2012,7.1,SN_ITK_DEFC,PT
2013,6.6,SN_ITK_DEFC,PT
2014,6.5,SN_ITK_DEFC,PT
2015,6.4,SN_ITK_DEFC,PT
2016,6.0,SN_ITK_DEFC,PT
2017,6.0,SN_ITK_DEFC,PT
2018,6.1,SN_ITK_DEFC,PT
2001,5.7,SN_ITK_DEFCN,NUMBER
2002,5.4,SN_ITK_DEFCN,NUMBER
2003,5.0,SN_ITK_DEFCN,NUMBER
2004,4.5,SN_ITK_DEFCN,NUMBER
2005,4.3,SN_ITK_DEFCN,NUMBER
2006,4.2,SN_ITK_DEFCN,NUMBER
2007,4.0,SN_ITK_DEFCN,NUMBER
2008,3.5,SN_ITK_DEFCN,NUMBER
2009,3.1,SN_ITK_DEFCN,NUMBER
2010,2.7,SN_ITK_DEFCN,NUMBER
2011,2.3,SN_ITK_DEFCN,NUMBER
2012,1.9,SN_ITK_DEFCN,NUMBER
2013,1.8,SN_ITK_DEFCN,NUMBER
2014,1.7,SN_ITK_DEFCN,NUMBER
2015,1.7,SN_ITK_DEFCN,NUMBER
2016,1.6,SN_ITK_DEFCN,NUMBER
2017,1.7,SN_ITK_DEFCN,NUMBER
2018,1.7,SN_ITK_DEFCN,NUMBER
