Year,Value,SERIES,UNIT_MEASURE
2000,11.2949750580379,GR_G14_GDP,PT
2001,11.981150174545,GR_G14_GDP,PT
2002,11.9581871279845,GR_G14_GDP,PT
2003,13.2088245525639,GR_G14_GDP,PT
2004,13.2397065913314,GR_G14_GDP,PT
2005,13.9895770220033,GR_G14_GDP,PT
2006,12.8576961810524,GR_G14_GDP,PT
2007,14.0401365563134,GR_G14_GDP,PT
2008,14.7917105286582,GR_G14_GDP,PT
2009,16.7994620379077,GR_G14_GDP,PT
2010,18.1299862554137,GR_G14_GDP,PT
2011,18.5017415775732,GR_G14_GDP,PT
2012,18.6641045554575,GR_G14_GDP,PT
2013,19.5229399488829,GR_G14_GDP,PT
2014,20.5967531932514,GR_G14_GDP,PT
2015,21.1259181456316,GR_G14_GDP,PT
2016,23.257906429021,GR_G14_GDP,PT
2017,24.3811935039601,GR_G14_GDP,PT
2000,46015.0,GR_G14_XDC,CUR_LCU
2001,52899.0,GR_G14_XDC,CUR_LCU
2002,54941.0,GR_G14_XDC,CUR_LCU
2003,65017.9,GR_G14_XDC,CUR_LCU
2004,71064.0,GR_G14_XDC,CUR_LCU
2005,82456.2,GR_G14_XDC,CUR_LCU
2006,84100.2,GR_G14_XDC,CUR_LCU
2007,102187.9,GR_G14_XDC,CUR_LCU
2008,120649.8,GR_G14_XDC,CUR_LCU
2009,166024.3,GR_G14_XDC,CUR_LCU
2010,216249.7,GR_G14_XDC,CUR_LCU
2011,252910.3,GR_G14_XDC,CUR_LCU
2012,285065.0,GR_G14_XDC,CUR_LCU
2013,330916.0,GR_G14_XDC,CUR_LCU
2014,404631.4,GR_G14_XDC,CUR_LCU
2015,450013.7,GR_G14_XDC,CUR_LCU
2016,524038.6,GR_G14_XDC,CUR_LCU
2017,644296.3,GR_G14_XDC,CUR_LCU
