Year,Value,SERIES,UNIT_MEASURE
2000,553,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2001,521,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2002,520,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2003,470,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2004,447,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2005,415,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2006,386,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2007,361,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2008,342,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2009,323,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2010,305,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2011,285,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2012,266,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2013,248,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2014,231,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2015,236,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2016,200,SH_STA_MORT,PER_100000_LIVE_BIRTHS
2017,186,SH_STA_MORT,PER_100000_LIVE_BIRTHS
