Year,Value,SERIES,UNIT_MEASURE
2005,134656.0,VC_DSR_AGLH,USD
2006,23534154.0,VC_DSR_AGLH,USD
2007,6991027.0,VC_DSR_AGLH,USD
2008,39864900.0,VC_DSR_AGLH,USD
2009,22561069.0,VC_DSR_AGLH,USD
2010,8433786.0,VC_DSR_AGLH,USD
2015,354391634.0,VC_DSR_AGLH,USD
2016,1234143198.0,VC_DSR_AGLH,USD
2017,843018942.0,VC_DSR_AGLH,USD
2018,11535686.0,VC_DSR_AGLH,USD
2015,87300000.0,VC_DSR_CHLN,USD
2016,3185040.0,VC_DSR_CHLN,USD
2017,4750000.0,VC_DSR_CHLN,USD
2005,4855062.0,VC_DSR_CILN,USD
2006,1380.0,VC_DSR_CILN,USD
2007,1469802.0,VC_DSR_CILN,USD
2008,6842509.0,VC_DSR_CILN,USD
2009,4958950.0,VC_DSR_CILN,USD
2010,1822486.0,VC_DSR_CILN,USD
2015,593721878.0,VC_DSR_CILN,USD
2016,16333447.0,VC_DSR_CILN,USD
2017,221556150.0,VC_DSR_CILN,USD
2018,6058862.0,VC_DSR_CILN,USD
2015,1448898700.0,VC_DSR_DDPA,USD
2005,41574343.0,VC_DSR_GDPLS,USD
2006,117206035.0,VC_DSR_GDPLS,USD
2007,236833953.0,VC_DSR_GDPLS,USD
2008,438411784.0,VC_DSR_GDPLS,USD
2009,168002332.0,VC_DSR_GDPLS,USD
2010,299374971.0,VC_DSR_GDPLS,USD
2011,37948950.0,VC_DSR_GDPLS,USD
2012,104036400.0,VC_DSR_GDPLS,USD
2013,59395050.0,VC_DSR_GDPLS,USD
2014,381645412.0,VC_DSR_GDPLS,USD
2015,22558608924.0,VC_DSR_GDPLS,USD
2016,1341650372.0,VC_DSR_GDPLS,USD
2017,3078776992.0,VC_DSR_GDPLS,USD
2018,21485688.0,VC_DSR_GDPLS,USD
2019,27742276.0,VC_DSR_GDPLS,USD
2005,36584625.0,VC_DSR_HOLH,USD
2006,93670500.0,VC_DSR_HOLH,USD
2007,228373125.0,VC_DSR_HOLH,USD
2008,391704375.0,VC_DSR_HOLH,USD
2009,140482312.0,VC_DSR_HOLH,USD
2010,289118700.0,VC_DSR_HOLH,USD
2011,37948950.0,VC_DSR_HOLH,USD
2012,104036400.0,VC_DSR_HOLH,USD
2013,59395050.0,VC_DSR_HOLH,USD
2014,381645412.0,VC_DSR_HOLH,USD
2015,20074296712.0,VC_DSR_HOLH,USD
2016,87988688.0,VC_DSR_HOLH,USD
2017,2009451900.0,VC_DSR_HOLH,USD
2018,3891140.0,VC_DSR_HOLH,USD
2019,27742276.0,VC_DSR_HOLH,USD
2005,0.00507,VC_DSR_LSGP,PT
2006,0.01318,VC_DSR_LSGP,PT
2007,0.02184,VC_DSR_LSGP,PT
2008,0.03785,VC_DSR_LSGP,PT
2009,0.01328,VC_DSR_LSGP,PT
2010,0.01846,VC_DSR_LSGP,PT
2011,0.00209,VC_DSR_LSGP,PT
2012,0.00587,VC_DSR_LSGP,PT
2013,0.00331,VC_DSR_LSGP,PT
2014,0.01905,VC_DSR_LSGP,PT
2015,1.09177,VC_DSR_LSGP,PT
2016,0.06472,VC_DSR_LSGP,PT
2017,0.12264,VC_DSR_LSGP,PT
2018,0.00078,VC_DSR_LSGP,PT
2019,0.00093,VC_DSR_LSGP,PT
