Year,Value,SERIES,UNIT_MEASURE
1990,5.94,GF_FRN_FDI,USD
1991,2.22,GF_FRN_FDI,USD
1996,19.16,GF_FRN_FDI,USD
1997,23.06,GF_FRN_FDI,USD
1998,12.0247,GF_FRN_FDI,USD
1999,4.35107,GF_FRN_FDI,USD
2000,-0.48483,GF_FRN_FDI,USD
2001,20.85,GF_FRN_FDI,USD
2002,-5.95254,GF_FRN_FDI,USD
2003,1.78615,GF_FRN_FDI,USD
2004,-0.41735,GF_FRN_FDI,USD
2005,2.45178,GF_FRN_FDI,USD
2006,-6.64798,GF_FRN_FDI,USD
2007,5.89024,GF_FRN_FDI,USD
2008,1.01058,GF_FRN_FDI,USD
2009,38.54543,GF_FRN_FDI,USD
2010,86.62561,GF_FRN_FDI,USD
2011,95.48636,GF_FRN_FDI,USD
2012,91.97774,GF_FRN_FDI,USD
2013,71.25147,GF_FRN_FDI,USD
2014,30.18815,GF_FRN_FDI,USD
2015,51.55796,GF_FRN_FDI,USD
2016,106.01877,GF_FRN_FDI,USD
2017,129.2096,GF_FRN_FDI,USD
2018,160.77114,GF_FRN_FDI,USD
