Year,Value,SERIES,UNIT_MEASURE
2000,19.15604,SD_XPD_ESED,PT
2001,21.6562,SD_XPD_ESED,PT
2002,20.44405,SD_XPD_ESED,PT
2003,21.31265,SD_XPD_ESED,PT
2004,21.61336,SD_XPD_ESED,PT
2005,22.29422,SD_XPD_ESED,PT
2006,25.50064,SD_XPD_ESED,PT
2007,21.14614,SD_XPD_ESED,PT
2008,22.23003,SD_XPD_ESED,PT
2009,19.87293,SD_XPD_ESED,PT
2010,16.03235,SD_XPD_ESED,PT
2011,17.98384,SD_XPD_ESED,PT
2012,17.43708,SD_XPD_ESED,PT
2013,17.56964,SD_XPD_ESED,PT
2014,18.28129,SD_XPD_ESED,PT
2015,16.98966,SD_XPD_ESED,PT
2016,19.1285,SD_XPD_ESED,PT
2017,17.09639,SD_XPD_ESED,PT
2018,14.10187,SD_XPD_ESED,PT
