Year,Value,SERIES,UNIT_MEASURE
2008,0,ST_EEV_ACCSEEA,NUMBER
2009,0,ST_EEV_ACCSEEA,NUMBER
2010,0,ST_EEV_ACCSEEA,NUMBER
2011,0,ST_EEV_ACCSEEA,NUMBER
2012,0,ST_EEV_ACCSEEA,NUMBER
2013,0,ST_EEV_ACCSEEA,NUMBER
2014,0,ST_EEV_ACCSEEA,NUMBER
2015,0,ST_EEV_ACCSEEA,NUMBER
2016,0,ST_EEV_ACCSEEA,NUMBER
2017,0,ST_EEV_ACCSEEA,NUMBER
2018,4,ST_EEV_ACCSEEA,NUMBER
2008,0,ST_EEV_ACCTSA,NUMBER
2009,0,ST_EEV_ACCTSA,NUMBER
2010,0,ST_EEV_ACCTSA,NUMBER
2011,0,ST_EEV_ACCTSA,NUMBER
2012,0,ST_EEV_ACCTSA,NUMBER
2013,0,ST_EEV_ACCTSA,NUMBER
2014,0,ST_EEV_ACCTSA,NUMBER
2015,0,ST_EEV_ACCTSA,NUMBER
2016,0,ST_EEV_ACCTSA,NUMBER
2017,0,ST_EEV_ACCTSA,NUMBER
2018,7,ST_EEV_ACCTSA,NUMBER
2008,0,ST_EEV_STDACCT,NUMBER
2009,0,ST_EEV_STDACCT,NUMBER
2010,0,ST_EEV_STDACCT,NUMBER
2011,0,ST_EEV_STDACCT,NUMBER
2012,0,ST_EEV_STDACCT,NUMBER
2013,0,ST_EEV_STDACCT,NUMBER
2014,0,ST_EEV_STDACCT,NUMBER
2015,0,ST_EEV_STDACCT,NUMBER
2016,0,ST_EEV_STDACCT,NUMBER
2017,0,ST_EEV_STDACCT,NUMBER
2018,11,ST_EEV_STDACCT,NUMBER
