Year,Value,UNIT_MEASURE,SERIES
2015,53.0,PT,_L_NP_03_08_02_01
2018,45.0,PT,_L_NP_03_08_02_01
2019,42.0,PT,_L_NP_03_08_02_01
2020,40.0,PT,_L_NP_03_08_02_01
2022,35.0,PT,_L_NP_03_08_02_01
2015,10.7,PT,SH_XPD_EARN25
2018,7.5,PT,SH_XPD_EARN25
2019,6.0,PT,SH_XPD_EARN25
2020,4.0,PT,SH_XPD_EARN25
2022,2.0,PT,SH_XPD_EARN25
