From,To
SEX,AGE
AGE,URBANISATION
URBANISATION,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,EDUCATION_LEV
EDUCATION_LEV,OCCUPATION
OCCUPATION,CUST_BREAKDOWN
CUST_BREAKDOWN,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,DISABILITY_STATUS
DISABILITY_STATUS,ACTIVITY
ACTIVITY,PRODUCT
