From,To
SERIES,EDUCATION_LEV
UNIT_MEASURE,SEX
UNIT_MEASURE,URBANISATION
UNIT_MEASURE,INCOME_WEALTH_QUANTILE
EDUCATION_LEV,UNIT_MEASURE
