Year,Series,Reference area,Units,Value
2001,Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk [2.5.2],,Percent,0
2002,Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk [2.5.2],,Percent,0
