Year,Series,Reference area,Units,Value
2000,Internet users per 100 inhabitants [17.8.1],,Per 100 population,0.2
2001,Internet users per 100 inhabitants [17.8.1],,Per 100 population,0.24
2002,Internet users per 100 inhabitants [17.8.1],,Per 100 population,0.31
2003,Internet users per 100 inhabitants [17.8.1],,Per 100 population,0.38
2004,Internet users per 100 inhabitants [17.8.1],,Per 100 population,0.45
2005,Internet users per 100 inhabitants [17.8.1],,Per 100 population,0.83
2006,Internet users per 100 inhabitants [17.8.1],,Per 100 population,1.14
2007,Internet users per 100 inhabitants [17.8.1],,Per 100 population,1.41
2008,Internet users per 100 inhabitants [17.8.1],,Per 100 population,1.73
2009,Internet users per 100 inhabitants [17.8.1],,Per 100 population,1.97
2010,Internet users per 100 inhabitants [17.8.1],,Per 100 population,7.93
2011,Internet users per 100 inhabitants [17.8.1],,Per 100 population,9.0
2012,Internet users per 100 inhabitants [17.8.1],,Per 100 population,11.15
2013,Internet users per 100 inhabitants [17.8.1],,Per 100 population,13.3
2014,Internet users per 100 inhabitants [17.8.1],,Per 100 population,15.44
2015,Internet users per 100 inhabitants [17.8.1],,Per 100 population,17.58
2016,Internet users per 100 inhabitants [17.8.1],,Per 100 population,19.69
2017,Internet users per 100 inhabitants [17.8.1],,Per 100 population,21.4
