Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,SH_STA_BRTC,,Y15T49,PT,55.6
2019,SH_STA_BRTC,,Y15T49,PT,77.2
2019,SH_STA_BRTC,प्रान्त न। १,Y15T49,PT,79.2
2019,SH_STA_BRTC,प्रान्त न। २,Y15T49,PT,63.6
2019,SH_STA_BRTC,वाग्मती,Y15T49,PT,86.6
2019,SH_STA_BRTC,गण्डकी,Y15T49,PT,86.4
2019,SH_STA_BRTC,लुम्बिनी,Y15T49,PT,77.2
2019,SH_STA_BRTC,कर्णाली,Y15T49,PT,65.8
2019,SH_STA_BRTC,सुदूरपश्चिम,Y15T49,PT,85.5
