Year,Series,REF_AREA,SEX,AGE,Units,Value
2008,SL_TLF_UEM,,,Y_GE15,PT,1.3
2015,SL_TLF_UEM,,,Y_GE15,PT,3.1
2017,SL_TLF_UEM,,,Y_GE15,PT,11.4
2008,SL_TLF_UEM,,,Y_GE25,PT,1.0
2017,SL_TLF_UEM,,,Y_GE25,PT,8.8
2008,SL_TLF_UEM,,,Y15T24,PT,2.2
2017,SL_TLF_UEM,,,Y15T24,PT,21.4
2008,SL_TLF_UEM,,F,Y_GE15,PT,1.1
2015,SL_TLF_UEM,,F,Y_GE15,PT,2.9
2017,SL_TLF_UEM,,F,Y_GE15,PT,13.1
2008,SL_TLF_UEM,,F,Y_GE25,PT,0.9
2017,SL_TLF_UEM,,F,Y_GE25,PT,10.2
2008,SL_TLF_UEM,,F,Y15T24,PT,1.6
2017,SL_TLF_UEM,,F,Y15T24,PT,23.9
2008,SL_TLF_UEM,,M,Y_GE15,PT,1.6
2015,SL_TLF_UEM,,M,Y_GE15,PT,3.4
2017,SL_TLF_UEM,,M,Y_GE15,PT,10.3
2008,SL_TLF_UEM,,M,Y_GE25,PT,1.1
2017,SL_TLF_UEM,,M,Y_GE25,PT,8.0
2008,SL_TLF_UEM,,M,Y15T24,PT,2.9
2017,SL_TLF_UEM,,M,Y15T24,PT,19.7
