Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,_L_NP_03_05_01_01,,PT,40
2018,_L_NP_03_05_01_01,,PT,50
2019,_L_NP_03_05_01_01,,PT,55
2020,_L_NP_03_05_01_01,,PT,60
2022,_L_NP_03_05_01_01,,PT,75
