Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2018,SL_EMP_EARN,,,Nepali Rupees,17809
2018,SL_EMP_EARN,,M,Nepali Rupees,19464
2018,SL_EMP_EARN,,F,Nepali Rupees,13630
