Year,Series,REF_AREA,Units,Value
2006,IT_MOB_2GNTWK,,PT,10.0
2010,IT_MOB_2GNTWK,,PT,35.13
2013,IT_MOB_2GNTWK,,PT,80.62
2014,IT_MOB_2GNTWK,,PT,80.0
2015,IT_MOB_2GNTWK,,PT,82.0
2016,IT_MOB_2GNTWK,,PT,91.97
2017,IT_MOB_2GNTWK,,PT,92.47
2009,IT_MOB_3GNTWK,,PT,20.35
2014,IT_MOB_3GNTWK,,PT,30.0
2015,IT_MOB_3GNTWK,,PT,50.0
2016,IT_MOB_3GNTWK,,PT,54.1
2017,IT_MOB_3GNTWK,,PT,54.1
2014,IT_MOB_4GNTWK,,PT,0.0
2015,IT_MOB_4GNTWK,,PT,0.0
2016,IT_MOB_4GNTWK,,PT,15.47
2017,IT_MOB_4GNTWK,,PT,15.47
