Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2018,_L_NP_03_0b_02_01,,PT,2
2019,_L_NP_03_0b_02_01,,PT,2
2020,_L_NP_03_0b_02_01,,PT,3
2022,_L_NP_03_0b_02_01,,PT,3
