Year,Series,REF_AREA,Units,Value
2000,AG_LND_FRSTBIOPHA,,T_PER_HA,184.05
2010,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2015,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2016,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2017,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2018,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2019,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2020,AG_LND_FRSTBIOPHA,,T_PER_HA,176.82
2000,AG_LND_FRSTCERT,,HA,0.0
2005,AG_LND_FRSTCERT,,HA,14.145
2010,AG_LND_FRSTCERT,,HA,14.145
2015,AG_LND_FRSTCERT,,HA,0.0
2016,AG_LND_FRSTCERT,,HA,0.0
2017,AG_LND_FRSTCERT,,HA,0.0
2018,AG_LND_FRSTCERT,,HA,0.0
2019,AG_LND_FRSTCERT,,HA,12.282
2020,AG_LND_FRSTCERT,,HA,0.0
2010,AG_LND_FRSTCHG,,PT,-0.01
2020,AG_LND_FRSTCHG,,PT,0.0
2000,AG_LND_FRSTMGT,,PT,82.87
2010,AG_LND_FRSTMGT,,PT,82.72
2015,AG_LND_FRSTMGT,,PT,82.72
2016,AG_LND_FRSTMGT,,PT,82.72
2017,AG_LND_FRSTMGT,,PT,82.72
2018,AG_LND_FRSTMGT,,PT,82.72
2019,AG_LND_FRSTMGT,,PT,82.72
2020,AG_LND_FRSTMGT,,PT,82.72
2000,AG_LND_FRSTPRCT,,PT,17.28
2010,AG_LND_FRSTPRCT,,PT,17.28
2015,AG_LND_FRSTPRCT,,PT,17.28
2016,AG_LND_FRSTPRCT,,PT,17.28
2017,AG_LND_FRSTPRCT,,PT,17.28
2018,AG_LND_FRSTPRCT,,PT,17.28
2019,AG_LND_FRSTPRCT,,PT,17.28
2020,AG_LND_FRSTPRCT,,PT,17.28
