Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2019,SE_ADT_ACTS,,F,Y15T24,PT,10.0
2019,SE_ADT_ACTS,,M,Y15T24,PT,20.4
2019,SE_ADT_ACTS,,F,Y15T49,PT,5.9
2019,SE_ADT_ACTS,प्रान्त न। १,F,Y15T49,PT,3.6
2019,SE_ADT_ACTS,प्रान्त न। २,F,Y15T49,PT,2.7
2019,SE_ADT_ACTS,वाग्मती,F,Y15T49,PT,13.9
2019,SE_ADT_ACTS,गण्डकी,F,Y15T49,PT,6.4
2019,SE_ADT_ACTS,लुम्बिनी,F,Y15T49,PT,2.9
2019,SE_ADT_ACTS,कर्णाली,F,Y15T49,PT,1.2
2019,SE_ADT_ACTS,सुदूरपश्चिम,F,Y15T49,PT,2.6
2019,SE_ADT_ACTS,,M,Y15T49,PT,15.5
2019,SE_ADT_ACTS,प्रान्त न। १,M,Y15T49,PT,10.8
2019,SE_ADT_ACTS,प्रान्त न। २,M,Y15T49,PT,7.4
2019,SE_ADT_ACTS,वाग्मती,M,Y15T49,PT,28.8
2019,SE_ADT_ACTS,गण्डकी,M,Y15T49,PT,12.6
2019,SE_ADT_ACTS,लुम्बिनी,M,Y15T49,PT,12.8
2019,SE_ADT_ACTS,कर्णाली,M,Y15T49,PT,6.5
2019,SE_ADT_ACTS,सुदूरपश्चिम,M,Y15T49,PT,12.2
