Year,Series,REF_AREA,Units,Value
2000,NV_IND_MANF,,PT,7.87
2001,NV_IND_MANF,,PT,7.73
2002,NV_IND_MANF,,PT,7.31
2003,NV_IND_MANF,,PT,7.03
2004,NV_IND_MANF,,PT,6.86
2005,NV_IND_MANF,,PT,6.81
2006,NV_IND_MANF,,PT,6.72
2007,NV_IND_MANF,,PT,6.66
2008,NV_IND_MANF,,PT,6.22
2009,NV_IND_MANF,,PT,5.89
2010,NV_IND_MANF,,PT,5.79
2011,NV_IND_MANF,,PT,5.82
2012,NV_IND_MANF,,PT,5.76
2013,NV_IND_MANF,,PT,5.73
2014,NV_IND_MANF,,PT,5.75
2015,NV_IND_MANF,,PT,5.59
2016,NV_IND_MANF,,PT,5.11
2017,NV_IND_MANF,,PT,5.18
2018,NV_IND_MANF,,PT,5.3
2019,NV_IND_MANF,,PT,5.29
2020,NV_IND_MANF,,PT,5.01
2000,NV_IND_MANF_CD,,PT,8.91
2001,NV_IND_MANF_CD,,PT,8.7
2002,NV_IND_MANF_CD,,PT,8.21
2003,NV_IND_MANF_CD,,PT,7.89
2004,NV_IND_MANF_CD,,PT,7.76
2005,NV_IND_MANF_CD,,PT,7.62
2006,NV_IND_MANF_CD,,PT,7.31
2007,NV_IND_MANF_CD,,PT,7.17
2008,NV_IND_MANF_CD,,PT,7.01
2009,NV_IND_MANF_CD,,PT,6.62
2010,NV_IND_MANF_CD,,PT,5.95
2011,NV_IND_MANF_CD,,PT,5.89
2012,NV_IND_MANF_CD,,PT,5.97
2013,NV_IND_MANF_CD,,PT,5.92
2014,NV_IND_MANF_CD,,PT,5.75
2015,NV_IND_MANF_CD,,PT,5.59
2016,NV_IND_MANF_CD,,PT,5.37
2017,NV_IND_MANF_CD,,PT,5.01
2018,NV_IND_MANF_CD,,PT,4.99
2019,NV_IND_MANF_CD,,PT,4.98
2000,NV_IND_MANFPC,,CON_USD,37.4
2001,NV_IND_MANFPC,,CON_USD,38.1
2002,NV_IND_MANFPC,,CON_USD,35.5
2003,NV_IND_MANFPC,,CON_USD,35.1
2004,NV_IND_MANFPC,,CON_USD,35.3
2005,NV_IND_MANFPC,,CON_USD,35.8
2006,NV_IND_MANFPC,,CON_USD,36.1
2007,NV_IND_MANFPC,,CON_USD,36.5
2008,NV_IND_MANFPC,,CON_USD,35.8
2009,NV_IND_MANFPC,,CON_USD,35.2
2010,NV_IND_MANFPC,,CON_USD,36.1
2011,NV_IND_MANFPC,,CON_USD,37.5
2012,NV_IND_MANFPC,,CON_USD,38.9
2013,NV_IND_MANFPC,,CON_USD,40.5
2014,NV_IND_MANFPC,,CON_USD,43.0
2015,NV_IND_MANFPC,,CON_USD,43.0
2016,NV_IND_MANFPC,,CON_USD,39.2
2017,NV_IND_MANFPC,,CON_USD,42.4
2018,NV_IND_MANFPC,,CON_USD,45.6
2019,NV_IND_MANFPC,,CON_USD,47.8
2020,NV_IND_MANFPC,,CON_USD,44.5
