Year,Series,REF_AREA,COMPOSITE_BREAKDOWN,Units,Value
2020,EN_SCP_FRMN,,LOR_ADVANCED,NUMBER,0
2020,EN_SCP_FRMN,,LOR_MINIMUM,NUMBER,0
