Year,Value,Units,Series
2005,134656.0,USD,Direct agriculture loss attributed to disasters
2006,23534154.0,USD,Direct agriculture loss attributed to disasters
2007,6991027.0,USD,Direct agriculture loss attributed to disasters
2008,39864900.0,USD,Direct agriculture loss attributed to disasters
2009,22561069.0,USD,Direct agriculture loss attributed to disasters
2010,8433786.0,USD,Direct agriculture loss attributed to disasters
2015,354391634.0,USD,Direct agriculture loss attributed to disasters
2016,1234143198.0,USD,Direct agriculture loss attributed to disasters
2017,843018942.0,USD,Direct agriculture loss attributed to disasters
2018,11535686.0,USD,Direct agriculture loss attributed to disasters
2005,14.0,Number,Number of disruptions to basic services attributed to disasters
2006,9.0,Number,Number of disruptions to basic services attributed to disasters
2007,42.0,Number,Number of disruptions to basic services attributed to disasters
2008,86.0,Number,Number of disruptions to basic services attributed to disasters
2009,70.0,Number,Number of disruptions to basic services attributed to disasters
2010,65.0,Number,Number of disruptions to basic services attributed to disasters
2013,1.0,Number,Number of disruptions to basic services attributed to disasters
2014,1.0,Number,Number of disruptions to basic services attributed to disasters
2015,3.0,Number,Number of disruptions to basic services attributed to disasters
2017,3.0,Number,Number of disruptions to basic services attributed to disasters
2018,4.0,Number,Number of disruptions to basic services attributed to disasters
2019,2.0,Number,Number of disruptions to basic services attributed to disasters
2005,20.0,Number,Number of damaged critical infrastructure attributed to disasters
2007,32.0,Number,Number of damaged critical infrastructure attributed to disasters
2008,76.0,Number,Number of damaged critical infrastructure attributed to disasters
2009,108.0,Number,Number of damaged critical infrastructure attributed to disasters
2010,39.0,Number,Number of damaged critical infrastructure attributed to disasters
2015,51723.0,Number,Number of damaged critical infrastructure attributed to disasters
2016,46.0,Number,Number of damaged critical infrastructure attributed to disasters
2017,6532.0,Number,Number of damaged critical infrastructure attributed to disasters
2018,304.0,Number,Number of damaged critical infrastructure attributed to disasters
2016,46.0,Number,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters
2017,5421.0,Number,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters
2018,304.0,Number,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters
2015,87300000.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2016,3185040.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2017,4750000.0,USD,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters
2005,4855062.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2006,1380.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2007,1469802.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2008,6842509.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2009,4958950.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2010,1822486.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2015,593721878.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2016,16333447.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2017,221556150.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2018,6058862.0,USD,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters
2015,1448898700.0,USD,Direct economic loss to other damaged or destroyed productive assets attributed to disasters
2005,20.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2007,31.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2008,67.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2009,104.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2010,38.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2015,51277.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2017,1012.0,Number,Number of destroyed or damaged educational facilities attributed to disasters
2005,14.0,Number,Number of disruptions to educational services attributed to disasters
2006,8.0,Number,Number of disruptions to educational services attributed to disasters
2007,38.0,Number,Number of disruptions to educational services attributed to disasters
2008,74.0,Number,Number of disruptions to educational services attributed to disasters
2009,66.0,Number,Number of disruptions to educational services attributed to disasters
2010,62.0,Number,Number of disruptions to educational services attributed to disasters
2015,1.0,Number,Number of disruptions to educational services attributed to disasters
2017,1.0,Number,Number of disruptions to educational services attributed to disasters
2018,2.0,Number,Number of disruptions to educational services attributed to disasters
2019,2.0,Number,Number of disruptions to educational services attributed to disasters
2007,1.0,Number,Number of destroyed or damaged health facilities attributed to disasters
2008,9.0,Number,Number of destroyed or damaged health facilities attributed to disasters
2009,4.0,Number,Number of destroyed or damaged health facilities attributed to disasters
2010,1.0,Number,Number of destroyed or damaged health facilities attributed to disasters
2015,446.0,Number,Number of destroyed or damaged health facilities attributed to disasters
2017,99.0,Number,Number of destroyed or damaged health facilities attributed to disasters
2005,36584625.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2006,93670500.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2007,228373125.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2008,391704375.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2009,140482312.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2010,289118700.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2011,37948950.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
