Year,Value,Units,Series
2005,8170.754,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2006,310052.76347,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2007,83818.11452,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2008,410644.96231,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2009,203757.86395,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2010,220624.86523,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2011,13992.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2012,39128.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2013,27196.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2014,364259.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2015,10230262.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2016,84580.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2017,1111595.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2018,64255.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2019,183401.0,Number,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]"
2005,33.43899,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2006,1251.89777,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2007,333.89763,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2008,1613.92792,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2009,790.0857,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2010,844.02725,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2011,52.81095,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2012,145.60304,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2013,99.77493,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2014,1317.58049,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2015,36487.25668,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2016,297.48701,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2017,3856.26248,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2018,219.90928,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2019,641.06689,"Per 100,000 population","Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2005,165.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2006,5859.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2007,4694.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2008,1267.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2009,1305.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2010,581.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2011,408.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2012,485.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2013,518.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2014,479.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,22663.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,764.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,737.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,2902.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,2452.0,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2005,100.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2006,101.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2007,92.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2008,125.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2009,140.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2010,142.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2011,135.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2012,50.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2013,184.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2014,281.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2015,212.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2016,47.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2017,67.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,9.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,41.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2005,433.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2006,700.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2007,729.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2008,1061.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2009,1400.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2010,1144.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2011,553.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2012,492.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2013,640.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2014,784.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,9460.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,497.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,557.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,487.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
