Year,Value,UNIT_MEASURE,SERIES
1995,66,Percent,Proportion of population below international poverty line [1.1.1]
2003,50,Percent,Proportion of population below international poverty line [1.1.1]
2010,15,Percent,Proportion of population below international poverty line [1.1.1]
