Year,Value
2000,23.9283
2001,24.16208
2002,24.36175
2003,24.56056
2004,24.7585
2005,24.95553
2006,25.15159
2007,25.34678
2008,25.54093
2009,25.73401
2010,25.92598
2011,26.11691
2012,26.30714
2013,26.49631
2014,26.68465
2015,26.87191
2016,27.0582
2017,27.24335
