Year,Value,Units,Series
2000,205.0,Number,Number of seats in national parliaments
2001,205.0,Number,Number of seats in national parliaments
2002,205.0,Number,Number of seats in national parliaments
2007,329.0,Number,Number of seats in national parliaments
2008,329.0,Number,Number of seats in national parliaments
2009,594.0,Number,Number of seats in national parliaments
2010,594.0,Number,Number of seats in national parliaments
2011,594.0,Number,Number of seats in national parliaments
2012,594.0,Number,Number of seats in national parliaments
2013,594.0,Number,Number of seats in national parliaments
2014,575.0,Number,Number of seats in national parliaments
2015,597.0,Number,Number of seats in national parliaments
2016,599.0,Number,Number of seats in national parliaments
2017,595.0,Number,Number of seats in national parliaments
2018,275.0,Number,Number of seats in national parliaments
2019,275.0,Number,Number of seats in national parliaments
2020,275.0,Number,Number of seats in national parliaments
