Year,Value,Units,Series
2002,26.83378,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2003,13.68649,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2004,9.47747,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2005,2.00487,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2006,3.45734,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2007,7.49093,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2008,18.64721,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2009,6.9075,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2010,30.2173,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2011,50.48495,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2012,10.95123,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2013,37.38919,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2014,26.16435,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2015,18.30768,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2016,33.25301,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2017,19.24385,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
2018,23.63437,Constant USD,"Total official development assistance for biodiversity, by recipient countries"
