Year,Value,Units,Series
2000,51.21737,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2001,51.21737,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2002,52.16076,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2003,52.16076,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2004,53.84386,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2005,55.31853,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2006,60.1736,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2007,60.1736,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2008,60.1736,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2009,60.1736,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2010,60.60968,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2011,60.60968,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2012,60.60968,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2013,60.60968,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2014,60.60968,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2015,60.60968,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2016,60.61385,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2017,60.61385,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2018,60.61385,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2019,60.61385,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
