Year,Value,UNIT_MEASURE,SERIES
2018,2,Percent,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development
2019,2,Percent,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development
2020,3,Percent,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development
2022,3,Percent,3.b.2 Total net official development assistance to medical research and basic health sectors _  Percent of health sector budget for research and development
