Year,Value,Units,Series
2006,0.00369,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2007,0.04153,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2008,0.045,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2009,0.06353,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2010,0.22277,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2011,0.35004,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2012,0.85448,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2013,1.15711,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2014,0.9314,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2015,1.12051,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2016,0.82229,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2017,1.82105,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2018,2.8188,Per 100 population,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2006,963.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2007,10957.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2008,12000.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2009,17078.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2010,60177.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2011,94656.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2012,230618.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2013,311457.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2014,250602.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2015,302705.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2016,224184.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2017,503206.0,Number,Fixed broadband subscriptions (number) [17.6.1]
2018,791961.0,Number,Fixed broadband subscriptions (number) [17.6.1]
