Year,Value,Units,Series
2000,2.59902,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2001,2.81879,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2002,3.04334,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2003,3.40207,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2004,3.27398,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2005,3.29353,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2006,3.26253,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2007,3.21553,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2008,3.28745,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2009,3.35746,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2010,3.43356,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2011,3.46799,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2012,3.63113,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2013,3.59206,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2014,3.72122,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2015,3.77572,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2016,3.8397,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2017,3.90282,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2]"
2000,5.6082,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2001,5.86039,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2002,6.42547,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2003,7.01835,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2004,6.54478,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2005,6.44566,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2006,6.2495,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2007,6.01924,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2008,5.85756,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2009,5.78021,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2010,5.69908,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2011,5.62839,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2012,5.69069,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2013,5.47181,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2014,5.41284,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2015,5.37799,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2016,5.50868,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2017,5.26654,Kilograms per constant USD,Domestic material consumption per unit of GDP [8.4.2]
2000,61703182.55898,Metric Tons,Domestic material consumption [8.4.2]
2001,68107012.55107,Metric Tons,Domestic material consumption [8.4.2]
2002,74763615.8179,Metric Tons,Domestic material consumption [8.4.2]
2003,84883876.6121,Metric Tons,Domestic material consumption [8.4.2]
2004,82862729.8526,Metric Tons,Domestic material consumption [8.4.2]
2005,84447150.402,Metric Tons,Domestic material consumption [8.4.2]
2006,84631997.9088,Metric Tons,Domestic material consumption [8.4.2]
2007,84294623.674,Metric Tons,Domestic material consumption [8.4.2]
2008,87038058.2117,Metric Tons,Domestic material consumption [8.4.2]
2009,89782131.4024,Metric Tons,Domestic material consumption [8.4.2]
2010,92785568.8746,Metric Tons,Domestic material consumption [8.4.2]
2011,94770229.4649,Metric Tons,Domestic material consumption [8.4.2]
2012,100400583.1501,Metric Tons,Domestic material consumption [8.4.2]
2013,100524930.4864,Metric Tons,Domestic material consumption [8.4.2]
2014,105397062.3218,Metric Tons,Domestic material consumption [8.4.2]
2015,108198110.83704,Metric Tons,Domestic material consumption [8.4.2]
2016,111285165.56742,Metric Tons,Domestic material consumption [8.4.2]
2017,114372220.2977,Metric Tons,Domestic material consumption [8.4.2]
