Year,Value,UNIT_MEASURE,SERIES
2015,0.15,Index,Agriculture orientation index for government expenditures [2.a.1]
2019,0.21,Index,Agriculture orientation index for government expenditures [2.a.1]
2022,0.26,Index,Agriculture orientation index for government expenditures [2.a.1]
