Year,Value,Units,Series
2000,8.4,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2001,8.4,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2002,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2003,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2004,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2005,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2006,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2007,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2008,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2009,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2010,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2011,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2012,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2013,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2014,8.3,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2015,8.31,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2016,8.31,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2017,8.31,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2018,8.31,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
