Year,Value,Units,Series
2001,23.6,PT,SN_ITK_DEFC
2002,21.9,PT,SN_ITK_DEFC
2003,19.9,PT,SN_ITK_DEFC
2004,17.7,PT,SN_ITK_DEFC
2005,16.9,PT,SN_ITK_DEFC
2006,16.0,PT,SN_ITK_DEFC
2007,15.0,PT,SN_ITK_DEFC
2008,13.1,PT,SN_ITK_DEFC
2009,11.5,PT,SN_ITK_DEFC
2010,9.9,PT,SN_ITK_DEFC
2011,8.4,PT,SN_ITK_DEFC
2012,7.1,PT,SN_ITK_DEFC
2013,6.6,PT,SN_ITK_DEFC
2014,6.5,PT,SN_ITK_DEFC
2015,6.4,PT,SN_ITK_DEFC
2016,6.0,PT,SN_ITK_DEFC
2017,6.0,PT,SN_ITK_DEFC
2018,6.1,PT,SN_ITK_DEFC
2001,5.7,NUMBER,SN_ITK_DEFCN
2002,5.4,NUMBER,SN_ITK_DEFCN
2003,5.0,NUMBER,SN_ITK_DEFCN
2004,4.5,NUMBER,SN_ITK_DEFCN
2005,4.3,NUMBER,SN_ITK_DEFCN
2006,4.2,NUMBER,SN_ITK_DEFCN
2007,4.0,NUMBER,SN_ITK_DEFCN
2008,3.5,NUMBER,SN_ITK_DEFCN
2009,3.1,NUMBER,SN_ITK_DEFCN
2010,2.7,NUMBER,SN_ITK_DEFCN
2011,2.3,NUMBER,SN_ITK_DEFCN
2012,1.9,NUMBER,SN_ITK_DEFCN
2013,1.8,NUMBER,SN_ITK_DEFCN
2014,1.7,NUMBER,SN_ITK_DEFCN
2015,1.7,NUMBER,SN_ITK_DEFCN
2016,1.6,NUMBER,SN_ITK_DEFCN
2017,1.7,NUMBER,SN_ITK_DEFCN
2018,1.7,NUMBER,SN_ITK_DEFCN
