Year,Value,Units,Series
1993,0.83829,Index,Red List Index [15.5.1]
1994,0.83795,Index,Red List Index [15.5.1]
1995,0.83764,Index,Red List Index [15.5.1]
1996,0.83714,Index,Red List Index [15.5.1]
1997,0.83657,Index,Red List Index [15.5.1]
1998,0.83595,Index,Red List Index [15.5.1]
1999,0.83566,Index,Red List Index [15.5.1]
2000,0.83521,Index,Red List Index [15.5.1]
2001,0.83497,Index,Red List Index [15.5.1]
2002,0.83478,Index,Red List Index [15.5.1]
2003,0.83461,Index,Red List Index [15.5.1]
2004,0.83473,Index,Red List Index [15.5.1]
2005,0.83441,Index,Red List Index [15.5.1]
2006,0.83458,Index,Red List Index [15.5.1]
2007,0.83454,Index,Red List Index [15.5.1]
2008,0.83442,Index,Red List Index [15.5.1]
2009,0.83442,Index,Red List Index [15.5.1]
2010,0.8346,Index,Red List Index [15.5.1]
2011,0.83433,Index,Red List Index [15.5.1]
2012,0.83447,Index,Red List Index [15.5.1]
2013,0.83468,Index,Red List Index [15.5.1]
2014,0.8345,Index,Red List Index [15.5.1]
2015,0.8345,Index,Red List Index [15.5.1]
2016,0.83457,Index,Red List Index [15.5.1]
2017,0.83477,Index,Red List Index [15.5.1]
2018,0.83457,Index,Red List Index [15.5.1]
2019,0.8348,Index,Red List Index [15.5.1]
2020,0.8348,Index,Red List Index [15.5.1]
2021,0.83471,Index,Red List Index [15.5.1]
