Year,Value,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,50.7,Normal value,Units,Percent,Participation rate in organized learning (one year before the official primary entry age) [4.2.2]
2019,82.9,Normal value,Units,Percent,Participation rate in organized learning (one year before the official primary entry age) [4.2.2]
