Year,Value,Units,Series
2000,15.1,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2001,0.0,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2002,4.9,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2003,30.55,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2004,5.5,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2005,17.5,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2006,0.0,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2007,0.0,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2008,4.6,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2009,0.0,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2010,43.6,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2011,107.3,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2012,966.2,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2013,0.0,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2014,158.9,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2015,350.0,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2016,26.07,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2017,151.1,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2018,21.4,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2019,647.2,USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]"
2000,22.41828,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2001,0.0,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2002,6.9644,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2003,42.45708,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2004,7.44436,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2005,22.90935,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2006,0.0,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2007,0.0,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2008,5.46219,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2009,0.0,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2010,50.85332,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2011,121.95315,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2012,1075.88303,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2013,0.0,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2014,171.60015,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2015,377.52603,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2016,27.76996,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2017,157.59587,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2018,21.78781,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
2019,647.20001,Constant USD,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]"
