Year,Value,Units,Series
2000,11.762,W_PER_CAPITA,EG_EGY_RNEW
2001,16.537,W_PER_CAPITA,EG_EGY_RNEW
2002,16.528,W_PER_CAPITA,EG_EGY_RNEW
2003,22.388,W_PER_CAPITA,EG_EGY_RNEW
2004,22.49,W_PER_CAPITA,EG_EGY_RNEW
2005,22.352,W_PER_CAPITA,EG_EGY_RNEW
2006,22.225,W_PER_CAPITA,EG_EGY_RNEW
2007,22.183,W_PER_CAPITA,EG_EGY_RNEW
2008,22.299,W_PER_CAPITA,EG_EGY_RNEW
2009,25.718,W_PER_CAPITA,EG_EGY_RNEW
2010,25.979,W_PER_CAPITA,EG_EGY_RNEW
2011,26.362,W_PER_CAPITA,EG_EGY_RNEW
2012,26.618,W_PER_CAPITA,EG_EGY_RNEW
2013,28.038,W_PER_CAPITA,EG_EGY_RNEW
2014,28.657,W_PER_CAPITA,EG_EGY_RNEW
2015,30.614,W_PER_CAPITA,EG_EGY_RNEW
2016,31.09,W_PER_CAPITA,EG_EGY_RNEW
2017,35.951,W_PER_CAPITA,EG_EGY_RNEW
2018,39.676,W_PER_CAPITA,EG_EGY_RNEW
