Year,Value,Units,Series
2000,0.205,Per 100 population,Internet users per 100 inhabitants
2001,0.24,Per 100 population,Internet users per 100 inhabitants
2002,0.313,Per 100 population,Internet users per 100 inhabitants
2003,0.383,Per 100 population,Internet users per 100 inhabitants
2004,0.45,Per 100 population,Internet users per 100 inhabitants
2005,0.827,Per 100 population,Internet users per 100 inhabitants
2006,1.141,Per 100 population,Internet users per 100 inhabitants
2007,1.41,Per 100 population,Internet users per 100 inhabitants
2008,1.73,Per 100 population,Internet users per 100 inhabitants
2009,1.97,Per 100 population,Internet users per 100 inhabitants
2010,7.93,Per 100 population,Internet users per 100 inhabitants
2011,9.0,Per 100 population,Internet users per 100 inhabitants
2012,11.149,Per 100 population,Internet users per 100 inhabitants
2013,13.3,Per 100 population,Internet users per 100 inhabitants
2014,15.44,Per 100 population,Internet users per 100 inhabitants
2015,17.582,Per 100 population,Internet users per 100 inhabitants
2016,19.689,Per 100 population,Internet users per 100 inhabitants
2017,34.0,Per 100 population,Internet users per 100 inhabitants
