Year,Value
2000,54.5317
2001,52.58778
2002,53.58885
2003,57.37541
2004,61.48774
2005,60.94152
2006,60.52527
2007,60.99772
2008,61.76374
2009,58.6126
2010,68.68619
2011,67.99083
2012,71.86313
2013,85.93593
2014,84.50524
2015,83.26422
2016,85.34704
2017,76.25712
