Year,Value,Units,Series
2000,61.62579,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2001,303.42838,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2002,45.91209,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2003,89.1134,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2004,50.17609,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2005,52.19268,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2006,50.08376,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2007,27.17706,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2008,47.61149,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2009,59.26804,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2010,76.87292,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2011,83.85921,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2012,109.82621,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2013,83.28302,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2014,88.52555,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2015,109.14844,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2016,129.53925,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2017,175.06165,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2018,136.16995,Constant USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
