Year,Value,Units,Series
2000,72.77813,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2001,100.51396,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2002,57.92799,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2003,41.15085,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2004,44.39379,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2005,31.94054,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2006,29.0966,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2007,34.54234,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2008,34.72786,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2009,53.45048,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2010,102.29638,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2011,116.43935,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2012,108.14176,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2013,76.2267,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2014,84.4955,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2015,106.69335,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2016,116.06157,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2017,142.01626,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2018,90.72318,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
