Year,Value,Units,Series
2000,88.29,Percent,Renewable energy share in the total final energy consumption
2001,87.76,Percent,Renewable energy share in the total final energy consumption
2002,89.95,Percent,Renewable energy share in the total final energy consumption
2003,89.44,Percent,Renewable energy share in the total final energy consumption
2004,90.3,Percent,Renewable energy share in the total final energy consumption
2005,89.52,Percent,Renewable energy share in the total final energy consumption
2006,91.25,Percent,Renewable energy share in the total final energy consumption
2007,91.31,Percent,Renewable energy share in the total final energy consumption
2008,90.47,Percent,Renewable energy share in the total final energy consumption
2009,88.93,Percent,Renewable energy share in the total final energy consumption
2010,87.29,Percent,Renewable energy share in the total final energy consumption
2011,86.95,Percent,Renewable energy share in the total final energy consumption
2012,84.7,Percent,Renewable energy share in the total final energy consumption
2013,86.05,Percent,Renewable energy share in the total final energy consumption
2014,84.06,Percent,Renewable energy share in the total final energy consumption
2015,85.04,Percent,Renewable energy share in the total final energy consumption
2016,79.2,Percent,Renewable energy share in the total final energy consumption
2017,76.56,Percent,Renewable energy share in the total final energy consumption
