Year,Value,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,84.9,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2019,89.9,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
