Year,Value
2000,4.2
2001,2.9
2002,-1.7
2003,2.1
2004,2.9
2005,1.8
2006,1.3
2007,1.5
2008,4.4
2009,3.1
2010,3.5
2011,2.7
2012,4.1
2013,3.4
2014,4.9
2015,1.9
2016,-2.2
2017,4.7
2018,3.0
2019,3.9
