Year,Value,Units,Series
2000,11.2949750580379,Percent,Total government revenue as a proportion of GDP
2001,11.981150174545,Percent,Total government revenue as a proportion of GDP
2002,11.9581871279845,Percent,Total government revenue as a proportion of GDP
2003,13.2088245525639,Percent,Total government revenue as a proportion of GDP
2004,13.2397065913314,Percent,Total government revenue as a proportion of GDP
2005,13.9895770220033,Percent,Total government revenue as a proportion of GDP
2006,12.8576961810524,Percent,Total government revenue as a proportion of GDP
2007,14.0401365563134,Percent,Total government revenue as a proportion of GDP
2008,14.7917105286582,Percent,Total government revenue as a proportion of GDP
2009,16.7994620379077,Percent,Total government revenue as a proportion of GDP
2010,18.1299862554137,Percent,Total government revenue as a proportion of GDP
2011,18.5017415775732,Percent,Total government revenue as a proportion of GDP
2012,18.6641045554575,Percent,Total government revenue as a proportion of GDP
2013,19.5229399488829,Percent,Total government revenue as a proportion of GDP
2014,20.5967531932514,Percent,Total government revenue as a proportion of GDP
2015,21.1259181456316,Percent,Total government revenue as a proportion of GDP
2016,23.257906429021,Percent,Total government revenue as a proportion of GDP
2017,24.3811935039601,Percent,Total government revenue as a proportion of GDP
2000,46015.0,Local currency,"Total government revenue, in local currency"
2001,52899.0,Local currency,"Total government revenue, in local currency"
2002,54941.0,Local currency,"Total government revenue, in local currency"
2003,65017.9,Local currency,"Total government revenue, in local currency"
2004,71064.0,Local currency,"Total government revenue, in local currency"
2005,82456.2,Local currency,"Total government revenue, in local currency"
2006,84100.2,Local currency,"Total government revenue, in local currency"
2007,102187.9,Local currency,"Total government revenue, in local currency"
2008,120649.8,Local currency,"Total government revenue, in local currency"
2009,166024.3,Local currency,"Total government revenue, in local currency"
2010,216249.7,Local currency,"Total government revenue, in local currency"
2011,252910.3,Local currency,"Total government revenue, in local currency"
2012,285065.0,Local currency,"Total government revenue, in local currency"
2013,330916.0,Local currency,"Total government revenue, in local currency"
2014,404631.4,Local currency,"Total government revenue, in local currency"
2015,450013.7,Local currency,"Total government revenue, in local currency"
2016,524038.6,Local currency,"Total government revenue, in local currency"
2017,644296.3,Local currency,"Total government revenue, in local currency"
