Year,Value
2000,118.34591
2001,175.70092
2002,90.23017
2003,134.22733
2004,150.26218
2005,114.02942
2006,88.24724
2007,91.22672
2008,121.85975
2009,125.32737
2010,184.96435
2011,181.25524
2012,180.00419
2013,227.98377
2014,207.30714
2015,300.95172
2016,182.6634
2017,338.54657
2018,334.48549
