Year,Value,UNIT_MEASURE,SERIES
2008,99.7,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2017,80.8,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
