Year,Value,Units,Series
1995,1781,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2000,2532,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2005,2532,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2010,2776,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2012,4155,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2014,4667,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2016,5383,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2017,5753,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2018,6073,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2019,6470,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2020,6470,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
