Year,Value,Units,Series
2000,40.3261946285316,Percent,Forest area as a proportion of total land area
2010,41.5907220090687,Percent,Forest area as a proportion of total land area
2015,41.5907220090687,Percent,Forest area as a proportion of total land area
2016,41.5907220090687,Percent,Forest area as a proportion of total land area
2017,41.5907220090687,Percent,Forest area as a proportion of total land area
2018,41.5907220090687,Percent,Forest area as a proportion of total land area
2019,41.5907220090687,Percent,Forest area as a proportion of total land area
2020,41.5907220090687,Percent,Forest area as a proportion of total land area
2000,5780.76,Hectares,Forest area (hectares)
2010,5962.03,Hectares,Forest area (hectares)
2015,5962.03,Hectares,Forest area (hectares)
2016,5962.03,Hectares,Forest area (hectares)
2017,5962.03,Hectares,Forest area (hectares)
2018,5962.03,Hectares,Forest area (hectares)
2019,5962.03,Hectares,Forest area (hectares)
2020,5962.03,Hectares,Forest area (hectares)
2015,14335.0,Hectares,Land area (hectares)
