Year,Value,Units,Series
2011,7.35187315184078,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2012,7.5989285510743,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2013,8.51632059953079,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2014,9.2973217072539,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2015,9.55867046391932,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2016,10.3416820192947,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2017,10.9700988632057,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2018,14.2797566516626,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2019,16.4573867089331,Number,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
