Year,Value,Units,Series
2000,66.88317,PT,SH_SAN_DEFECT
2001,63.98527,PT,SH_SAN_DEFECT
2002,61.24088,PT,SH_SAN_DEFECT
2003,58.50689,PT,SH_SAN_DEFECT
2004,55.78364,PT,SH_SAN_DEFECT
2005,53.07146,PT,SH_SAN_DEFECT
2006,50.37069,PT,SH_SAN_DEFECT
2007,47.68124,PT,SH_SAN_DEFECT
2008,45.00389,PT,SH_SAN_DEFECT
2009,42.33896,PT,SH_SAN_DEFECT
2010,39.68679,PT,SH_SAN_DEFECT
2011,37.04739,PT,SH_SAN_DEFECT
2012,34.42002,PT,SH_SAN_DEFECT
2013,31.80613,PT,SH_SAN_DEFECT
2014,29.20545,PT,SH_SAN_DEFECT
2015,26.61907,PT,SH_SAN_DEFECT
2016,24.04713,PT,SH_SAN_DEFECT
2017,21.49045,PT,SH_SAN_DEFECT
2005,55.24303,PT,SH_SAN_HNDWSH
2006,55.34751,PT,SH_SAN_HNDWSH
2007,55.45398,PT,SH_SAN_HNDWSH
2008,55.56213,PT,SH_SAN_HNDWSH
2009,55.67194,PT,SH_SAN_HNDWSH
2010,54.70482,PT,SH_SAN_HNDWSH
2011,53.7321,PT,SH_SAN_HNDWSH
2012,52.75477,PT,SH_SAN_HNDWSH
2013,51.77163,PT,SH_SAN_HNDWSH
2014,50.78327,PT,SH_SAN_HNDWSH
2015,49.78883,PT,SH_SAN_HNDWSH
2016,48.78854,PT,SH_SAN_HNDWSH
2017,47.78184,PT,SH_SAN_HNDWSH
