Year,Value,Units,Series
2006,1.38,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2007,1.42,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2008,1.5,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2009,1.56,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2010,1.62,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2011,1.68,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2012,1.76,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2013,1.82,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2014,1.92,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2015,1.98,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2016,1.98,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2017,2.13,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
2018,2.24,United States dollars per cubic metre,Water Use Efficiency (United States dollars per cubic meter) [6.4.1]
