Year,Value,Units,Series
2015,50.0,Percent,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1]
2020,20.0,Percent,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1]
2015,100.0,Percent,Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1]
2020,100.0,Percent,Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1]
2015,31.37,Percent,Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1]
2020,68.97,Percent,Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1]
2015,66.67,Percent,Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1]
2020,62.5,Percent,Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1]
