Year,Series,Reference area,Units,Value
2000,Renewable energy share in the total final energy consumption [7.2.1],,Percent,88.2864
2001,Renewable energy share in the total final energy consumption [7.2.1],,Percent,87.7585
2002,Renewable energy share in the total final energy consumption [7.2.1],,Percent,89.945
2003,Renewable energy share in the total final energy consumption [7.2.1],,Percent,89.4446
2004,Renewable energy share in the total final energy consumption [7.2.1],,Percent,90.2986
2005,Renewable energy share in the total final energy consumption [7.2.1],,Percent,89.5191
2006,Renewable energy share in the total final energy consumption [7.2.1],,Percent,91.2547
2007,Renewable energy share in the total final energy consumption [7.2.1],,Percent,91.3137
2008,Renewable energy share in the total final energy consumption [7.2.1],,Percent,90.4705
2009,Renewable energy share in the total final energy consumption [7.2.1],,Percent,88.9343
2010,Renewable energy share in the total final energy consumption [7.2.1],,Percent,87.2945
2011,Renewable energy share in the total final energy consumption [7.2.1],,Percent,86.9476
2012,Renewable energy share in the total final energy consumption [7.2.1],,Percent,84.6986
2013,Renewable energy share in the total final energy consumption [7.2.1],,Percent,86.0495
2014,Renewable energy share in the total final energy consumption [7.2.1],,Percent,84.063
2015,Renewable energy share in the total final energy consumption [7.2.1],,Percent,85.0361
2016,Renewable energy share in the total final energy consumption [7.2.1],,Percent,79.1952
2017,Renewable energy share in the total final energy consumption [7.2.1],,Percent,76.4075
2018,Renewable energy share in the total final energy consumption [7.2.1],,Percent,75.0397
