Year,SDG Series,Unit of measure,Value
2015,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Index,0.05
2016,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Index,0.05
2017,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Index,0.05
2018,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Index,0.375
2019,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Index,0.75
