Year,Value
2000,9.29
2001,9.15
2002,9.24
2003,9.15
2004,8.86
2005,8.85
2006,8.57
2007,8.44
2008,8.24
2009,8.11
2010,7.97
2011,7.97
2012,7.27
2013,7.79
2014,7.65
2015,7.4
2016,8.02
2017,7.84
