Year,SERIES,Reference area,UNIT_MEASURE,Value
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Percent,99.7
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Percent,80.8
