Year,Series,Reference area,Units,Value
2000,SM_POP_REFG_OR,Nepal,Percent,0.000948
2001,SM_POP_REFG_OR,Nepal,Percent,0.001232
2002,SM_POP_REFG_OR,Nepal,Percent,0.003636
2003,SM_POP_REFG_OR,Nepal,Percent,0.004912
2004,SM_POP_REFG_OR,Nepal,Percent,0.005562
2005,SM_POP_REFG_OR,Nepal,Percent,0.008005
2006,SM_POP_REFG_OR,Nepal,Percent,0.010169
2007,SM_POP_REFG_OR,Nepal,Percent,0.012753
2008,SM_POP_REFG_OR,Nepal,Percent,0.01571
2009,SM_POP_REFG_OR,Nepal,Percent,0.018971
2010,SM_POP_REFG_OR,Nepal,Percent,0.021773
2011,SM_POP_REFG_OR,Nepal,Percent,0.025314
2012,SM_POP_REFG_OR,Nepal,Percent,0.028163
2013,SM_POP_REFG_OR,Nepal,Percent,0.030084
2014,SM_POP_REFG_OR,Nepal,Percent,0.031756
2015,SM_POP_REFG_OR,Nepal,Percent,0.033496
2016,SM_POP_REFG_OR,Nepal,Percent,0.030673
2017,SM_POP_REFG_OR,Nepal,Percent,0.03044
2018,SM_POP_REFG_OR,Nepal,Percent,0.030561
2019,SM_POP_REFG_OR,Nepal,Percent,0.028626
