Year,Series,Reference area,Units,Value
1993,Red List Index [15.5.1],,Index,0.83829
1994,Red List Index [15.5.1],,Index,0.83795
1995,Red List Index [15.5.1],,Index,0.83764
1996,Red List Index [15.5.1],,Index,0.83714
1997,Red List Index [15.5.1],,Index,0.83657
1998,Red List Index [15.5.1],,Index,0.83595
1999,Red List Index [15.5.1],,Index,0.83566
2000,Red List Index [15.5.1],,Index,0.83521
2001,Red List Index [15.5.1],,Index,0.83497
2002,Red List Index [15.5.1],,Index,0.83478
2003,Red List Index [15.5.1],,Index,0.83461
2004,Red List Index [15.5.1],,Index,0.83473
2005,Red List Index [15.5.1],,Index,0.83441
2006,Red List Index [15.5.1],,Index,0.83458
2007,Red List Index [15.5.1],,Index,0.83454
2008,Red List Index [15.5.1],,Index,0.83442
2009,Red List Index [15.5.1],,Index,0.83442
2010,Red List Index [15.5.1],,Index,0.8346
2011,Red List Index [15.5.1],,Index,0.83433
2012,Red List Index [15.5.1],,Index,0.83447
2013,Red List Index [15.5.1],,Index,0.83468
2014,Red List Index [15.5.1],,Index,0.8345
2015,Red List Index [15.5.1],,Index,0.8345
2016,Red List Index [15.5.1],,Index,0.83457
2017,Red List Index [15.5.1],,Index,0.83477
2018,Red List Index [15.5.1],,Index,0.83457
2019,Red List Index [15.5.1],,Index,0.8348
2020,Red List Index [15.5.1],,Index,0.8348
2021,Red List Index [15.5.1],,Index,0.83471
